"word","pinyin","pinyinf","category","meaning"
"动机","dong4 ji1","dòng jī","名詞","動機"
"动人","dong4 ren2","dòng rén","形容詞","感動する"
"动听","dong4 ting1","dòng tīng","形容詞","(聞いて)感動的である、面白い"
"陡峭","dou3 qiao4","dǒu qiào","形容詞","険しい、急峻である"
"独身","du2 shen1","dú shēn","名詞","独身"
"堵","du3","dǔ","量詞","塀や壁を数える"
"堵车","du3 che1","dǔ chē","動詞","渋滞する"
"堵塞","du3 se4","dǔ sè","動詞","ふさぐ"
"睹","du3","dǔ","動詞","見る、目にする(文章語)"
"度过","du4 guo4","dù guò","動詞","過ごす、暮らす"
"断绝","duan4 jue2","duàn jué","動詞","断絶する"
"堆","dui1","duī","量詞","ひとやま、ひとむれ"
"对待","dui4 dai4","duì dài","動詞","扱う、人に対する扱い"
"对抗","dui4 kang4","duì kàng","動詞","対抗する、抵抗する"
"对立","dui4 li4","duì lì","動詞","対立する"
"多余","duo1 yu2","duō yú","形容詞","余計である、不必要である"
"多姿多彩","duo1 zi1 duo1 cai3","duō  zī duō  cǎi","成語","多彩な"
"恶心","e3 xin1","ě xīn","動詞","気分を悪くする"
"鄂霍次克海","e4 huo4 ci4 ke4 hai3","è huò cì kè  hǎi","固有名詞","オホーツク海"
"发动","fa1 dong4","fā dòng","動詞","発動する、働きかける"
"发疯","fa1 feng1","fā fēng","動詞","気が狂う"
"发福","fa1 fu2","fā fú","動詞","福々しくなる、太る"
"发挥","fa1 hui1","fā huī","動詞","発揮する、展開する"
"发酵","fa1 jiao4","fā jiào","動詞","発酵する、発酵させる"
"发起","fa1 qi3","fā qǐ","動詞","発起する、提唱する"
"繁荣","fan2 rong2","fán róng","形容詞","繁栄、繁栄している、繁栄させる(動詞)"
"反常","fan3 chang2","fǎn cháng","形容詞","異常である、おかしい"
"反而","fan3 er2","fǎn ér","副詞","かえって"
"反复","fan3 fu4","fǎn fù","副詞","繰り返して、反復(名詞)"
"反感","fan3 gan3","fǎn gǎn","形容詞","反感を持つ"
"反叛","fan3 pan4","fǎn pàn","動詞","裏切る、反逆する"
"反正","fan3 zheng4","fǎn zhèng","副詞","どうせ"
"返老还童","fan3 lao3 huan2 tong2","fǎn lǎo huán tóng","成語","年を取って、かえって若返る"
"饭桶","fan4 tong3","fàn tǒng","名詞","飯ひつ、大飯食らい"
"范围","fan4 wei2","fàn wéi","名詞","範囲"
"贩毒","fan4 du2","fàn dú","動詞","毒物を売る"
"方针","fang1 zhen1","fāng zhēn","名詞","方針"
"妨碍","fang2 ai4","fáng ài","動詞","妨げる、邪魔する、差し控える"
"访问","fang3 wen4","fǎng wèn","動詞","訪問する"
"纺织品","fang3 zhi1 pin3","fǎng zhī pǐn","名詞","織物、繊維製品"
"放弃","fang4 qi4","fàng qì","動詞","あきらめる、やめる"
"放手","fang4 shou3","fàng shǒu","動詞","思い切って〜する、手放す"
"放逐","fang4 zhu2","fàng zhú","動詞","追放する"
"费心","fei4 xin1","fèi xīn","動詞","気を遣う、心配する"
"分辨","fen1 bian4","fēn biàn","動詞","見分ける、区別する"
"分划土地","fen1 hua4 tu3 di4","fēn huà tǔ dì","名詞","(土地の)分筆"
"分类","fen1 lei4","fēn lèi","名詞","分類"
"分裂","fen1 lie4","fēn liè","動詞","分裂する、分裂させる"
"分配","fen1 pei4","fēn pèi","動詞","割り当てる"
"分歧","fen1 qi2","fēn qí","名詞","食い違い"
"分手","fen1 shou3","fēn shǒu","動詞","別れる"
"分析","fen1 xi1","fēn xī","動詞","分析する"
"分享","fen1 xiang3","fēn xiǎng","動詞","分かつ、分け合う"
"纷纷","fen1 fen1","fēn fēn ","形容詞","雑多である、入り乱れている"
"氛围","fen1 wei2","fēn wéi","名詞","雰囲気"
"奋战","fen4 zhan4","fèn zhàn","動詞","奮戦する"
"丰富多彩","feng1 fu4 duo1 cai3","fēng fù duō cǎi","成語","多種多様である"
"风俗","feng1 su2","fēng sú","名詞","風習、風俗"
"风雨相伴","feng1 yu3 xiang1 ban4","fēng yǔ xiāng bàn","成語","風雨を伴う"
"封闭","feng1 bi4","fēng bì","形容詞","密閉する、封鎖する"
"缝制","feng2 zhi4","féng zhì","動詞","縫製する"
"孚","fu2","fú","動詞","心服される、心服させる"
"扶持","fu2 chi2","fú chí","動詞","扶助する、援助する"
"扶贫","fu2 pin2","fú pín","動詞","貧しい人を援助する"
"扶摇直上","fu2 yao2 zhi2 shang4","fú yáo zhí shàng","成語","まっすぐ上昇する、急上昇、早い出世"
"扶助","fu2 zhu4","fú zhù","動詞","助ける、扶助する"
"服饰","fu2 shi4","fú shì","名詞","服装"
"服装","fu2 zhuang1","fú zhuāng","名詞","服装"
"浮躁","fu2 zao4","fú zào","形容詞","動き回って落ち着きがない"
"符号","fu2 hao4","fú hào","名詞","符号、しるし"
"符合","fu2 he2","fú hé","動詞","一致する、ぴったり合う"
"腐败","fu3 bai4","fǔ bài","形容詞","腐敗した"
"负面","fu4 mian4","fù miàn","名詞","悪い一面"
"附加值","fu4 jia1 zhi2","fù jiā zhí","名詞","付加価値"
"附上","fu4 shang4","fù shàng","動詞","付け加える、添える"
"复婚","fu4 hun1","fù hūn","動詞","復縁(して再婚する)"
"复苏","fu4 su1","fù sū","動詞","蘇生する、よみがえる"
"富足","fu4 zu2","fù zú","形容詞","裕福である、豊富である"
"覆盖","fu4 gai4","fù gài","動詞","覆う"
"改进","gai3 jin4","gǎi jìn","動詞","改良する"
"改善","gai3 shan4","gǎi shàn","動詞","改善する"
"干脆","gan1 cui4","gān cuì","形容詞","(言動などが)率直な、いっそのこと(副)、思いっきりが良い"
"干旱","gan1 han4","gān hàn","形容詞","日照りによって乾燥している、日照り(名詞)"
"尴尬","gan1 ga4","gān gà","形容詞","ばつが悪い、気まずい、ぎこちない"
"赶尽杀绝","gan3 jin4 sha1 jue2","gǎn jìn shā jué","成語","徹底的に駆逐し、根絶やしにする"
"敢情","gan3 qing","gǎn qing","副詞","意外にも、おやまあ、もちろん"
"感动","gan3 dong4","gǎn dòng","動詞","感動する"
